,timestamp,end_time,odo,end_odo,soc,end_soc,duration,delta_odo,delta_soc,event_charge,event_trip,charge_mode_120,charge_mode_240,charge_mode_DCCharging
0,0.0,0.3,0.0,9.859375,70.9,69.4,18.0,9.859375,-1.5,0.0,1.0,0.0,0.0,0.0
1,3.683333333333333,3.8666666666666667,9.859375,16.234375,69.4,68.2,11.0,6.375,-1.2000000000000028,0.0,1.0,0.0,0.0,0.0
2,8.066666666666666,8.283333333333333,22.609375,32.890625,66.6,63.5,13.0,10.28125,-3.0999999999999943,0.0,1.0,0.0,0.0,0.0
3,26.533333333333335,26.783333333333335,32.890625,46.59375,63.5,60.3,15.0,13.703125,-3.200000000000003,0.0,1.0,0.0,0.0,0.0
4,27.5,27.766666666666666,46.59375,60.78125,59.6,56.0,16.0,14.1875,-3.6000000000000014,0.0,1.0,0.0,0.0,0.0
5,29.55,29.8,60.78125,74.375,55.6,52.1,15.0,13.59375,-3.5,0.0,1.0,0.0,0.0,0.0
6,30.05,30.2,74.375,81.546875,51.7,49.8,9.0,7.171875,-1.9000000000000057,0.0,1.0,0.0,0.0,0.0
7,43.03333333333333,43.266666666666666,81.546875,92.015625,47.8,45.0,14.0,10.46875,-2.799999999999997,0.0,1.0,0.0,0.0,0.0
8,47.68333333333333,47.96666666666667,92.015625,105.625,44.3,42.3,17.0,13.609375,-2.0,0.0,1.0,0.0,0.0,0.0
9,53.833333333333336,54.1,105.625,119.796875,41.9,38.8,16.0,14.171875,-3.1000000000000014,0.0,1.0,0.0,0.0,0.0
10,62.8,63.15,119.796875,135.125,38.0,33.7,21.0,15.328125,-4.299999999999997,0.0,1.0,0.0,0.0,0.0
11,63.21666666666667,64.06666666666666,135.125,190.453125,33.7,24.3,51.0,55.328125,-9.400000000000002,0.0,1.0,0.0,0.0,0.0
12,64.1,64.61666666666666,190.453125,190.46875,24.3,59.2,31.0,0.015625,34.900000000000006,1.0,0.0,0.0,0.0,1.0
13,64.61666666666666,65.05,190.46875,210.75,59.2,55.6,26.0,20.28125,-3.6000000000000014,0.0,1.0,0.0,0.0,0.0
14,67.45,67.88333333333334,210.75,222.03125,51.7,49.8,26.0,11.28125,-1.9000000000000057,0.0,1.0,0.0,0.0,0.0
15,70.41666666666667,72.21666666666667,226.0,315.25,49.0,26.6,108.0,89.25,-22.4,0.0,1.0,0.0,0.0,0.0
16,72.21666666666667,72.41666666666667,315.25,323.546875,26.6,25.8,12.0,8.296875,-0.8000000000000007,0.0,1.0,0.0,0.0,0.0
17,72.41666666666667,72.6,323.546875,323.578125,25.8,25.4,11.0,0.03125,-0.40000000000000213,0.0,1.0,0.0,0.0,0.0
18,72.6,76.5,323.578125,402.53125,25.4,12.1,234.0,78.953125,-13.299999999999999,0.0,1.0,0.0,0.0,0.0
19,76.51666666666667,76.65,402.53125,406.453125,12.1,11.3,8.0,3.921875,-0.7999999999999989,0.0,1.0,0.0,0.0,0.0
20,76.9,76.9,406.453125,406.484375,10.9,10.9,0.0,0.03125,0.0,0.0,1.0,0.0,0.0,0.0
21,76.91666666666667,78.0,406.484375,406.484375,10.9,20.0,65.0,0.0,9.1,1.0,0.0,0.0,1.0,0.0
22,78.0,78.13333333333334,406.484375,410.875,20.0,18.8,8.0,4.390625,-1.1999999999999993,0.0,1.0,0.0,0.0,0.0
23,96.2,96.51666666666667,410.875,424.578125,20.3,18.4,19.0,13.703125,-1.9000000000000021,0.0,1.0,0.0,0.0,0.0
24,96.51666666666667,99.23333333333333,424.578125,424.578125,18.4,34.9,163.0,0.0,16.5,1.0,0.0,0.0,1.0,0.0
25,99.23333333333333,99.28333333333333,424.578125,424.765625,34.9,34.9,3.0,0.1875,0.0,0.0,1.0,0.0,0.0,0.0
26,102.11666666666666,102.4,424.765625,438.890625,35.2,32.1,17.0,14.125,-3.1000000000000014,0.0,1.0,0.0,0.0,0.0
27,116.73333333333333,117.25,438.890625,445.0,30.5,29.8,31.0,6.109375,-0.6999999999999993,0.0,1.0,0.0,0.0,0.0
28,117.25,117.45,445.0,450.921875,29.8,28.6,12.0,5.921875,-1.1999999999999993,0.0,1.0,0.0,0.0,0.0
29,117.73333333333333,118.0,450.921875,461.0625,28.2,27.0,16.0,10.140625,-1.1999999999999993,0.0,1.0,0.0,0.0,0.0
30,119.65,119.8,461.0625,466.546875,26.6,25.8,9.0,5.484375,-0.8000000000000007,0.0,1.0,0.0,0.0,0.0
31,119.95,120.18333333333334,466.546875,477.625,25.8,24.3,14.0,11.078125,-1.5,0.0,1.0,0.0,0.0,0.0
32,120.2,125.4,477.625,477.625,24.3,41.1,312.0,0.0,16.8,1.0,0.0,0.0,1.0,0.0
33,125.4,125.43333333333334,477.625,477.8125,41.1,41.1,2.0,0.1875,0.0,0.0,1.0,0.0,0.0,0.0
34,125.9,126.05,477.8125,486.0,41.1,39.6,9.0,8.1875,-1.5,0.0,1.0,0.0,0.0,0.0
35,126.33333333333333,126.51666666666667,486.0,492.078125,39.2,38.4,11.0,6.078125,-0.8000000000000043,0.0,1.0,0.0,0.0,0.0
36,140.96666666666667,141.51666666666668,492.078125,513.359375,36.8,34.1,33.0,21.28125,-2.6999999999999957,0.0,1.0,0.0,0.0,0.0
37,141.51666666666668,142.21666666666667,513.359375,513.390625,34.1,33.3,42.0,0.03125,-0.8000000000000043,0.0,1.0,0.0,0.0,0.0
38,142.21666666666667,142.28333333333333,513.390625,515.53125,33.3,33.7,4.0,2.140625,0.4000000000000057,0.0,1.0,0.0,0.0,0.0
39,142.86666666666667,142.96666666666667,515.53125,517.9375,33.7,33.3,6.0,2.40625,-0.4000000000000057,0.0,1.0,0.0,0.0,0.0
40,162.88333333333333,163.16666666666666,517.9375,529.25,32.1,30.1,17.0,11.3125,-2.0,0.0,1.0,0.0,0.0,0.0
41,163.23333333333332,163.85,529.25,553.28125,30.1,26.2,37.0,24.03125,-3.900000000000002,0.0,1.0,0.0,0.0,0.0
42,167.86666666666667,168.13333333333333,553.28125,561.609375,25.8,24.3,16.0,8.328125,-1.5,0.0,1.0,0.0,0.0,0.0
43,168.76666666666668,168.88333333333333,568.265625,571.71875,23.5,23.1,7.0,3.453125,-0.3999999999999986,0.0,1.0,0.0,0.0,0.0
44,169.26666666666668,169.4,571.71875,575.625,23.1,22.7,8.0,3.90625,-0.40000000000000213,0.0,1.0,0.0,0.0,0.0
45,169.7,170.05,575.625,590.921875,22.3,19.2,21.0,15.296875,-3.1000000000000014,0.0,1.0,0.0,0.0,0.0
46,171.06666666666666,171.3,590.921875,598.703125,19.2,17.6,14.0,7.78125,-1.5999999999999979,0.0,1.0,0.0,0.0,0.0
47,171.43333333333334,171.68333333333334,598.703125,607.765625,17.6,16.0,15.0,9.0625,-1.6000000000000014,0.0,1.0,0.0,0.0,0.0
48,188.01666666666668,188.46666666666667,607.765625,622.0,15.6,13.3,27.0,14.234375,-2.299999999999999,0.0,1.0,0.0,0.0,0.0
49,188.66666666666666,189.05,622.0,638.015625,12.9,10.5,23.0,16.015625,-2.4000000000000004,0.0,1.0,0.0,0.0,0.0
50,189.08333333333334,191.1,638.015625,638.015625,10.5,12.5,121.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
51,191.1,191.46666666666667,638.015625,653.453125,12.5,10.1,22.0,15.4375,-2.4000000000000004,0.0,1.0,0.0,0.0,0.0
52,191.7,192.08333333333334,653.453125,669.203125,9.8,7.4,23.0,15.75,-2.4000000000000004,0.0,1.0,0.0,0.0,0.0
53,192.45,192.76666666666668,669.203125,680.265625,7.0,5.4,19.0,11.0625,-1.5999999999999996,0.0,1.0,0.0,0.0,0.0
54,192.78333333333333,195.05,680.265625,680.265625,5.4,22.3,136.0,0.0,16.9,1.0,0.0,0.0,1.0,0.0
55,195.16666666666666,195.46666666666667,681.21875,681.21875,22.3,24.3,18.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
56,195.46666666666667,195.53333333333333,681.21875,682.0625,24.3,24.7,4.0,0.84375,0.3999999999999986,0.0,1.0,0.0,0.0,0.0
57,195.53333333333333,198.56666666666666,682.0625,682.0625,24.7,51.3,182.0,0.0,26.599999999999998,1.0,0.0,0.0,1.0,0.0
58,198.56666666666666,198.6,682.0625,682.328125,51.3,51.3,2.0,0.265625,0.0,0.0,1.0,0.0,0.0,0.0
59,199.01666666666668,199.23333333333332,682.34375,693.96875,51.3,48.6,13.0,11.625,-2.6999999999999957,0.0,1.0,0.0,0.0,0.0
60,211.68333333333334,211.98333333333332,693.96875,704.171875,48.6,47.0,18.0,10.203125,-1.6000000000000014,0.0,1.0,0.0,0.0,0.0
61,211.98333333333332,212.61666666666667,704.171875,704.171875,47.0,50.5,38.0,0.0,3.5,1.0,0.0,0.0,1.0,0.0
62,212.71666666666667,213.01666666666668,706.609375,706.609375,50.5,52.5,18.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
63,213.01666666666668,213.31666666666666,706.609375,715.40625,52.5,50.5,18.0,8.796875,-2.0,0.0,1.0,0.0,0.0,0.0
64,213.55,215.0,715.40625,779.4375,50.5,39.6,87.0,64.03125,-10.899999999999999,0.0,1.0,0.0,0.0,0.0
65,215.0,216.13333333333333,779.4375,779.484375,39.6,38.8,68.0,0.046875,-0.8000000000000043,0.0,1.0,0.0,0.0,0.0
66,216.13333333333333,216.38333333333333,779.484375,790.546875,38.8,36.8,15.0,11.0625,-2.0,0.0,1.0,0.0,0.0,0.0
67,216.4,216.41666666666666,790.546875,790.765625,36.8,36.8,1.0,0.21875,0.0,0.0,1.0,0.0,0.0,0.0
68,216.41666666666666,217.81666666666666,790.765625,790.765625,36.8,48.6,84.0,0.0,11.800000000000004,1.0,0.0,0.0,1.0,0.0
69,217.81666666666666,218.1,790.765625,798.90625,48.6,47.0,17.0,8.140625,-1.6000000000000014,0.0,1.0,0.0,0.0,0.0
70,218.11666666666667,218.65,798.90625,804.4375,47.0,45.8,32.0,5.53125,-1.2000000000000028,0.0,1.0,0.0,0.0,0.0
71,219.08333333333334,219.26666666666668,804.4375,813.921875,45.0,43.9,11.0,9.484375,-1.1000000000000014,0.0,1.0,0.0,0.0,0.0
72,219.26666666666668,221.8,813.921875,813.921875,43.9,65.8,152.0,0.0,21.9,1.0,0.0,0.0,1.0,0.0
73,221.8,222.03333333333333,813.921875,825.5625,65.8,63.1,14.0,11.640625,-2.6999999999999957,0.0,1.0,0.0,0.0,0.0
74,240.6,240.8,825.5625,831.859375,63.9,63.1,12.0,6.296875,-0.7999999999999972,0.0,1.0,0.0,0.0,0.0
75,240.86666666666667,241.11666666666667,831.859375,838.734375,63.1,61.9,15.0,6.875,-1.2000000000000028,0.0,1.0,0.0,0.0,0.0
76,241.98333333333332,242.35,838.734375,852.0625,61.1,59.2,22.0,13.328125,-1.8999999999999986,0.0,1.0,0.0,0.0,0.0
77,264.18333333333334,264.53333333333336,852.0625,863.15625,58.8,57.6,21.0,11.09375,-1.1999999999999957,0.0,1.0,0.0,0.0,0.0
78,264.55,267.3833333333333,863.15625,863.15625,57.6,82.7,170.0,0.0,25.1,1.0,0.0,0.0,1.0,0.0
79,267.3833333333333,267.4166666666667,863.15625,863.3125,82.7,82.7,2.0,0.15625,0.0,0.0,1.0,0.0,0.0,0.0
80,269.0,269.03333333333336,863.3125,863.75,82.3,82.3,2.0,0.4375,0.0,0.0,1.0,0.0,0.0,0.0
81,270.1333333333333,270.3,863.75,871.921875,81.9,80.3,10.0,8.171875,-1.6000000000000085,0.0,1.0,0.0,0.0,0.0
82,270.53333333333336,270.76666666666665,871.921875,880.65625,80.0,78.0,14.0,8.734375,-2.0,0.0,1.0,0.0,0.0,0.0
83,281.8833333333333,282.1166666666667,880.65625,891.75,78.0,76.8,14.0,11.09375,-1.2000000000000028,0.0,1.0,0.0,0.0,0.0
84,282.1333333333333,284.2,891.75,891.75,76.8,93.7,124.0,0.0,16.900000000000006,1.0,0.0,0.0,1.0,0.0
85,284.2,284.25,891.75,891.9375,93.7,93.7,3.0,0.1875,0.0,0.0,1.0,0.0,0.0,0.0
86,288.26666666666665,288.56666666666666,891.9375,903.71875,93.3,90.9,18.0,11.78125,-2.3999999999999915,0.0,1.0,0.0,0.0,0.0
87,291.93333333333334,292.0,903.734375,905.984375,90.5,90.5,4.0,2.25,0.0,0.0,1.0,0.0,0.0,0.0
88,292.0833333333333,292.15,905.984375,907.9375,90.5,89.8,4.0,1.953125,-0.7000000000000028,0.0,1.0,0.0,0.0,0.0
89,304.1333333333333,304.21666666666664,907.9375,910.09375,89.8,88.6,5.0,2.15625,-1.2000000000000028,0.0,1.0,0.0,0.0,0.0
90,304.35,304.4166666666667,910.09375,912.265625,88.6,88.6,4.0,2.171875,0.0,0.0,1.0,0.0,0.0,0.0
91,313.28333333333336,313.48333333333335,912.28125,919.203125,87.8,87.0,12.0,6.921875,-0.7999999999999972,0.0,1.0,0.0,0.0,0.0
92,313.65,313.8666666666667,919.203125,925.765625,86.6,85.0,13.0,6.5625,-1.5999999999999943,0.0,1.0,0.0,0.0,0.0
93,331.3833333333333,331.4,925.765625,926.3125,84.7,84.7,1.0,0.546875,0.0,0.0,1.0,0.0,0.0,0.0
94,331.4166666666667,332.76666666666665,926.3125,926.3125,84.7,86.2,81.0,0.0,1.5,1.0,0.0,1.0,0.0,0.0
95,332.93333333333334,335.1,929.265625,984.984375,86.2,76.4,130.0,55.71875,-9.799999999999997,0.0,1.0,0.0,0.0,0.0
96,335.1166666666667,335.21666666666664,984.984375,987.515625,76.4,76.0,6.0,2.53125,-0.4000000000000057,0.0,1.0,0.0,0.0,0.0
97,335.81666666666666,338.03333333333336,987.515625,1105.734375,76.0,52.5,133.0,118.21875,-23.5,0.0,1.0,0.0,0.0,0.0
98,338.15,338.71666666666664,1105.734375,1147.453125,52.1,41.9,34.0,41.71875,-10.200000000000003,0.0,1.0,0.0,0.0,0.0
99,339.01666666666665,339.9,1147.453125,1221.578125,41.9,24.3,53.0,74.125,-17.599999999999998,0.0,1.0,0.0,0.0,0.0
100,339.95,339.98333333333335,1221.578125,1222.046875,24.3,24.3,2.0,0.46875,0.0,0.0,1.0,0.0,0.0,0.0
101,340.0,341.5833333333333,1222.046875,1222.046875,24.3,38.4,95.0,0.0,14.099999999999998,1.0,0.0,0.0,1.0,0.0
102,341.5833333333333,342.96666666666664,1222.046875,1275.84375,38.4,29.8,83.0,53.796875,-8.599999999999998,0.0,1.0,0.0,0.0,0.0
103,343.01666666666665,359.3,1275.84375,1275.84375,29.8,49.8,977.0,0.0,19.999999999999996,1.0,0.0,1.0,0.0,0.0
104,359.3,362.3833333333333,1275.84375,1379.703125,49.8,30.5,185.0,103.859375,-19.299999999999997,0.0,1.0,0.0,0.0,0.0
105,362.48333333333335,363.03333333333336,1379.703125,1397.90625,30.9,27.4,33.0,18.203125,-3.5,0.0,1.0,0.0,0.0,0.0
106,362.4,362.48333333333335,1379.703125,1379.703125,30.5,30.9,5.0,0.0,0.3999999999999986,1.0,0.0,0.0,1.0,0.0
107,363.1,363.68333333333334,1397.90625,1416.8125,27.4,25.0,35.0,18.90625,-2.3999999999999986,0.0,1.0,0.0,0.0,0.0
108,363.7,365.8,1416.8125,1416.8125,25.0,43.5,126.0,0.0,18.5,1.0,0.0,0.0,1.0,0.0
109,365.95,368.8333333333333,1418.984375,1549.546875,43.5,16.8,173.0,130.5625,-26.7,0.0,1.0,0.0,0.0,0.0
110,368.85,378.25,1549.546875,1549.546875,16.8,28.2,564.0,0.0,11.399999999999999,1.0,0.0,1.0,0.0,0.0
111,378.25,379.4166666666667,1549.546875,1600.03125,28.2,19.6,70.0,50.484375,-8.599999999999998,0.0,1.0,0.0,0.0,0.0
112,379.43333333333334,381.46666666666664,1600.03125,1600.03125,19.6,37.6,122.0,0.0,18.0,1.0,0.0,0.0,1.0,0.0
113,381.46666666666664,383.01666666666665,1600.03125,1682.21875,37.6,21.9,93.0,82.1875,-15.700000000000003,0.0,1.0,0.0,0.0,0.0
114,383.01666666666665,384.25,1682.21875,1682.21875,21.9,32.1,74.0,0.0,10.200000000000003,1.0,0.0,0.0,1.0,0.0
115,384.25,384.56666666666666,1682.21875,1693.84375,32.1,29.4,19.0,11.625,-2.700000000000003,0.0,1.0,0.0,0.0,0.0
116,385.98333333333335,386.85,1693.84375,1726.1875,29.0,23.9,52.0,32.34375,-5.100000000000001,0.0,1.0,0.0,0.0,0.0
117,386.8833333333333,387.3333333333333,1726.1875,1755.765625,23.9,17.6,27.0,29.578125,-6.299999999999997,0.0,1.0,0.0,0.0,0.0
118,387.5833333333333,387.75,1755.765625,1761.203125,17.6,17.2,10.0,5.4375,-0.40000000000000213,0.0,1.0,0.0,0.0,0.0
119,387.75,389.25,1761.203125,1761.203125,17.2,31.3,90.0,0.0,14.100000000000001,1.0,0.0,0.0,1.0,0.0
120,389.25,389.53333333333336,1761.203125,1773.15625,31.3,30.1,17.0,11.953125,-1.1999999999999993,0.0,1.0,0.0,0.0,0.0
121,389.68333333333334,392.1333333333333,1773.15625,1901.421875,30.1,3.5,147.0,128.265625,-26.6,0.0,1.0,0.0,0.0,0.0
122,392.1333333333333,392.3833333333333,1901.421875,1901.421875,3.5,4.7,15.0,0.0,1.2000000000000002,1.0,0.0,0.0,1.0,0.0
123,392.3833333333333,392.51666666666665,1901.421875,1905.96875,4.7,3.9,8.0,4.546875,-0.8000000000000003,0.0,1.0,0.0,0.0,0.0
124,392.53333333333336,393.3333333333333,1905.96875,1905.96875,3.9,7.0,48.0,0.0,3.1,1.0,0.0,0.0,1.0,0.0
125,393.3333333333333,393.43333333333334,1905.96875,1908.234375,7.0,6.2,6.0,2.265625,-0.7999999999999998,0.0,1.0,0.0,0.0,0.0
126,393.46666666666664,393.46666666666664,1908.234375,1908.25,6.2,6.2,0.0,0.015625,0.0,0.0,1.0,0.0,0.0,0.0
127,393.53333333333336,393.78333333333336,1908.265625,1908.265625,6.2,20.0,15.0,0.0,13.8,1.0,0.0,0.0,0.0,1.0
128,393.78333333333336,394.28333333333336,1908.265625,1939.25,20.0,13.3,30.0,30.984375,-6.699999999999999,0.0,1.0,0.0,0.0,0.0
129,409.1333333333333,409.4,1939.25,1947.359375,31.3,29.8,16.0,8.109375,-1.5,0.0,1.0,0.0,0.0,0.0
130,394.28333333333336,409.1333333333333,1939.25,1939.25,13.3,31.3,891.0,0.0,18.0,1.0,0.0,1.0,0.0,0.0
131,409.43333333333334,410.53333333333336,1947.359375,1985.0625,29.8,24.7,66.0,37.703125,-5.100000000000001,0.0,1.0,0.0,0.0,0.0
132,410.55,411.18333333333334,1985.0625,1985.0625,24.7,29.8,38.0,0.0,5.100000000000001,1.0,0.0,0.0,1.0,0.0
133,411.18333333333334,411.48333333333335,1985.0625,2000.71875,29.8,27.0,18.0,15.65625,-2.8000000000000007,0.0,1.0,0.0,0.0,0.0
134,411.76666666666665,412.46666666666664,2000.71875,2040.78125,27.0,18.8,42.0,40.0625,-8.2,0.0,1.0,0.0,0.0,0.0
135,412.6166666666667,413.18333333333334,2040.78125,2040.78125,18.8,47.0,34.0,0.0,28.2,1.0,0.0,0.0,0.0,1.0
136,413.18333333333334,414.1666666666667,2040.78125,2063.78125,47.0,43.1,59.0,23.0,-3.8999999999999986,0.0,1.0,0.0,0.0,0.0
137,414.18333333333334,414.3,2063.78125,2063.78125,43.1,43.9,7.0,0.0,0.7999999999999972,1.0,0.0,0.0,1.0,0.0
138,414.3,418.23333333333335,2063.78125,2240.578125,43.9,9.4,236.0,176.796875,-34.5,0.0,1.0,0.0,0.0,0.0
139,431.6333333333333,431.8833333333333,2240.578125,2248.671875,25.4,23.9,15.0,8.09375,-1.5,0.0,1.0,0.0,0.0,0.0
140,418.25,431.6333333333333,2240.578125,2240.578125,9.4,25.4,803.0,0.0,15.999999999999998,1.0,0.0,1.0,0.0,0.0
141,432.31666666666666,433.15,2252.640625,2271.0,23.5,20.3,50.0,18.359375,-3.1999999999999993,0.0,1.0,0.0,0.0,0.0
142,434.21666666666664,435.3333333333333,2271.0,2288.375,70.9,67.0,67.0,17.375,-3.9000000000000057,0.0,1.0,0.0,0.0,0.0
143,433.1666666666667,434.21666666666664,2271.0,2271.0,20.3,70.9,63.0,0.0,50.60000000000001,1.0,0.0,0.0,0.0,1.0
144,435.71666666666664,437.81666666666666,2288.375,2376.875,67.0,49.0,126.0,88.5,-18.0,0.0,1.0,0.0,0.0,0.0
145,437.81666666666666,437.96666666666664,2376.875,2376.875,49.0,49.8,9.0,0.0,0.7999999999999972,1.0,0.0,0.0,1.0,0.0
146,437.96666666666664,440.4166666666667,2376.875,2489.515625,49.8,27.4,147.0,112.640625,-22.4,0.0,1.0,0.0,0.0,0.0
147,440.48333333333335,454.68333333333334,2489.515625,2489.515625,27.4,44.7,852.0,0.0,17.300000000000004,1.0,0.0,1.0,0.0,0.0
148,454.68333333333334,455.01666666666665,2489.515625,2498.953125,44.7,43.5,20.0,9.4375,-1.2000000000000028,0.0,1.0,0.0,0.0,0.0
149,455.03333333333336,455.81666666666666,2498.953125,2498.953125,43.5,79.6,47.0,0.0,36.099999999999994,1.0,0.0,0.0,0.0,1.0
150,455.81666666666666,456.21666666666664,2498.953125,2512.734375,79.6,77.6,24.0,13.78125,-2.0,0.0,1.0,0.0,0.0,0.0
151,456.26666666666665,456.7,2512.734375,2528.078125,77.6,74.9,26.0,15.34375,-2.6999999999999886,0.0,1.0,0.0,0.0,0.0
152,456.73333333333335,461.51666666666665,2528.078125,2696.46875,74.9,41.9,287.0,168.390625,-33.00000000000001,0.0,1.0,0.0,0.0,0.0
153,461.6166666666667,461.81666666666666,2696.46875,2706.4375,41.9,40.3,12.0,9.96875,-1.6000000000000014,0.0,1.0,0.0,0.0,0.0
154,461.9,464.3,2706.4375,2810.34375,40.7,21.1,144.0,103.90625,-19.6,0.0,1.0,0.0,0.0,0.0
155,461.8333333333333,461.9,2706.4375,2706.4375,40.3,40.7,4.0,0.0,0.4000000000000057,1.0,0.0,0.0,1.0,0.0
156,464.31666666666666,477.03333333333336,2810.34375,2810.34375,21.1,36.8,763.0,0.0,15.699999999999996,1.0,0.0,1.0,0.0,0.0
157,477.03333333333336,477.31666666666666,2810.34375,2819.78125,36.8,35.6,17.0,9.4375,-1.1999999999999957,0.0,1.0,0.0,0.0,0.0
158,477.3333333333333,478.3333333333333,2819.78125,2819.78125,35.6,85.0,60.0,0.0,49.4,1.0,0.0,0.0,0.0,1.0
159,478.3333333333333,478.5,2819.78125,2826.640625,85.0,83.9,10.0,6.859375,-1.0999999999999943,0.0,1.0,0.0,0.0,0.0
160,480.0,480.8833333333333,2834.65625,2871.609375,81.5,75.6,53.0,36.953125,-5.900000000000006,0.0,1.0,0.0,0.0,0.0
